legalRepresentative,qualityRepresentative,license,companyName,area,repositoryAddress,validTillDate,issuingAuthority,registrationAddress,licenseDate,businessScope,companyController
,肖燕,鄂CB0278261,湖北益生天济大药房连锁有限公司将军路店,东西湖区,,2020-01-13,武汉市东西湖区食品药品监督管理局,东西湖区养殖场将军路4栋3-1-1号,20150114,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,郑红云
,严玲,鄂DB0276201,武汉市施善堂大药房有限公司建七店,青山区,,2020-01-14,武汉市青山区食品药品监督管理局,武汉市青山区建设七路5号,20150115,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,韩志祥
,皮情梅,鄂CB0275337,湖北益生天济大药房连锁有限公司瑞安店,武昌区,,2020-01-15,武汉市武昌区食品药品监督管理局,武汉市武昌区南湖花园城金秋别墅28栋商铺1层,20150116,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,郑红云
,黄传梅,鄂CB0275362,湖北益生天济大药房连锁有限公司徐东路店,武昌区,由湖北益生天济大药房连锁有限公司统一配,2020-01-15,武汉市武昌区食品药品监督管理局,武汉市武昌区团结村福星惠誉国际城6幢1单元1/2层8号房,20150116,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,郑红云
,何润,鄂CB0275029,武汉市爱尔康大药房有限公司新河分店,武昌区,,2020-01-18,武汉市武昌区食品药品监督管理局,武昌区新河街幸福里小区7-8号门面,20150119,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,甘辉军
,郑婷婷,鄂CB0273332,老百姓大药房连锁（湖北）有限公司武汉武胜...,硚口区,由老百姓大药房连锁（湖北）有限公司统一配送,2020-01-15,武汉市硚口区食品药品监督管理局,武汉市硚口区集贤公寓北苑C座壹层2号门面,20150116,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杨芬
李裴裴,陈永信,鄂DB027070813,武汉老寿星大药房有限公司桥北路店,东湖新技术开发区,,2020-01-15,武汉市开发区食品药品监督管理局（武汉东湖新技术开发区）,武汉市东湖开发区豹澥街桥北路60号,20150116,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,范涛
,张娈娈,鄂CB0278025,湖北同济堂药房有限公司熙龙湾药店,东西湖区,,2020-01-20,武汉市东西湖区食品药品监督管理局,武汉市东西湖区丰尚时代广场熙龙湾6号楼8号商铺,20150121,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品***,胡翠荣
吴立华,程道芬,鄂DA0271368,武汉德泰康大药房有限公司,江岸区,,2020-01-18,武汉市江岸区食品药品监督管理局,武汉市江岸区车站路139号,20150119,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,丁冬冬
,唐细芬,鄂CB0275031（更）,武汉市爱尔康大药房有限公司铁莲分店,武昌区,,2020-01-18,武汉市武昌区食品药品监督管理局,洪山区武莲路82号,20150119,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,甘辉军
朱以淼,杨涛,鄂DB0277130,武汉春和大药房有限公司,洪山区,,2020-01-20,武汉市食品药品监督管理局,洪山区青菱乡张家湾街青润家园,20150121,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,韩春水
,林瑞祎,鄂CB0271322,湖北益生天济大药房连锁有限公司育才街店,江岸区,由湖北益生天济大药房连锁有限公司统一配,2018-10-22,武汉市江岸区食品药品监督管理局,武汉市江岸区三眼桥三村656号1层1室,20150123,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,郑红云
,陈四秀,鄂CB0275163,湖北同济堂药房有限公司水果湖步行街药店,武昌区,,2020-01-21,武汉市武昌区食品药品监督管理局,武汉市武昌水果湖中百仓储内,20150122,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,雷云锋
,于虹,鄂CB0275492,湖北益生天济大药房连锁有限公司中南路店,武昌区,,2020-01-22,武汉市武昌区食品药品监督管理局,武汉市武昌区中南路80号中南大厦一层,20150123,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,郑红云
,李雅琼,鄂CB0277525,武汉马应龙大药房连锁有限公司中央花园药店,武昌区,,2020-01-22,武汉市武昌区食品药品监督管理局,武昌区南湖中央花园购物中心A区1层1号,20150123,甲类非处方药、乙类非处方药;中成药、化学药制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,夏瑛
,樊小琳,鄂CB0279322,湖北同济堂药房有限公司木兰花园药店,黄陂区,,2020-01-25,武汉市食品药品监督管理局,黄陂区前川街石阳街45号,20150126,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,雷云锋
万超,万超,鄂DB0270613,武汉保安堂大药房有限公司,经济技术开发区（汉南区）,,2020-02-01,武汉市开发区食品药品监督管理局（武汉经济技术开发区）,全力1路民营工业园7区倒班楼D1-101,20150202,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,周小玲
,刘斌,鄂CB0279320,湖北同济堂药房有限公司泡桐药店*29,黄陂区,,2020-01-25,武汉市食品药品监督管理局,武汉市黄陂区李集镇泡桐齐石大街十字路口旁,20150126,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,雷云锋
,陈贞,鄂DB0276203,武汉御华堂大药房有限公司武东一村店,青山区,无,2020-01-26,武汉市青山区食品药品监督管理局,青山区武东一村迎宾苑1栋1层商网,20150127,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,周继国
,周艳琼,鄂DB0278337,武汉市汉南区纱帽街丽康大药房,经济技术开发区（汉南区）,,2020-02-02,武汉市食品药品监督管理局,武汉市汉南区纱帽街子林街38-40号,20150203,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,王国平
,徐莲芬,鄂CB0277135,武汉为民天寿大药房有限公司工业三路店,洪山区,,2020-02-01,武汉市洪山区食品药品监督管理局,洪山区东方红村东方雅园二期第27栋1层商11、12号,20150202,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵艳
柴桑桑,黄汉秋,鄂DB0279125,武汉广德堂大药房有限公司,江夏区,,2020-02-01,武汉市江夏区食品药品监督管理局,武汉市江夏区金水闸新街29号,20150202,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,郑淑玲
,张韦,鄂DB0278333,汉南区同济堂银莲湖药店,经济技术开发区（汉南区）,,2020-02-02,武汉市食品药品监督管理局,汉南区银莲湖农场三支沟,20150203,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,肖品德
,王华,鄂DB0278330,汉南区华萌大药房,经济技术开发区（汉南区）,,2020-02-02,武汉市食品药品监督管理局,汉南区邓南街南康路罗家岭附2号,20150203,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品***,肖焱发
,陆喆,鄂DA0270654,湖北智仁大药房有限公司福新店,经济技术开发区（汉南区）,,2020-02-04,武汉市开发区食品药品监督管理局（武汉经济技术开发区）,武汉经济技术开发区学府路16号,20150205,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、生化药品、生物制品(除疫苗外)***,徐润荣
夏育民,王线,鄂DB0279580,武汉盘龙康泰堂大药房有限公司,黄陂区,无,2020-02-04,武汉市黄陂区食品药品监督管理局,黄陂区盘龙城巨龙大道199附13号,20150205,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,陈丹
,白杨,鄂DB0275445,武汉神州医药有限责任公司武昌药店,武昌区,,2020-02-05,武汉市武昌区食品药品监督管理局,武汉市武昌区和平大道661号,20150206,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杨本文
黄书龙,邵志凌,鄂CB0277146,武汉市美佳康大药房有限公司南苑店,洪山区,,2020-02-05,武汉市洪山区食品药品监督管理局,青山区115街坊钢花南苑1栋1层2号,20150206,处方药(禁止类与限制类药品除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,文道兵
,蒋璘,鄂CB0277141,湖北益生天济大药房连锁有限公司波光霞影店,洪山区,无,2020-02-05,武汉市洪山区食品药品监督管理局,洪山区烽胜路波光霞影B座59、60号商铺,20150206,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,郑红云
黄书龙,张倩睿,鄂CB0277143,武汉市美佳康大药房有限公司金鹤店,洪山区,,2020-02-05,武汉市洪山区食品药品监督管理局,洪山区金鹤园小区114栋2号,20150206,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,文道兵
黄书龙,吴丽鹏,鄂CB0277145,武汉市美佳康大药房有限公司紫金店,洪山区,,2020-02-05,武汉市洪山区食品药品监督管理局,洪山区和平乡徐东四期2号1层,20150206,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,文道兵
,黄细红,鄂CB0279303,武汉市佳源堂大药房连锁有限公司民安店,黄陂区,,2020-02-01,武汉市黄陂区食品药品监督管理局,武汉市黄陂区前川街民安街18号,20150209,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,邓智勇
黄书龙,张旭力,鄂CB0277147,武汉市美佳康大药房有限公司星桥店,洪山区,,2020-02-08,武汉市洪山区食品药品监督管理局,洪山区友谊大道星桥苑小区青鹏国际大厦1层4号门面,20150209,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,文道兵
,胡秋莲,鄂CB0278020,湖北同济堂药房有限公司东西湖爱君药店,东西湖区,,2020-02-08,武汉市食品药品监督管理局,武汉市东西湖区将军路将军家苑22铺,20150209,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,熊翠红
,刘引兰,鄂CB0276023,湖北德仁堂医药连锁有限公司御药堂药店,青山区,,2020-02-08,武汉市青山区食品药品监督管理局,武汉市青山区红钢城工业三路1号,20150209,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,徐景政
赵晖,王瑞琼,鄂DB0279124,武汉市好药师宝树堂大药房有限公司,江夏区,,2020-02-09,武汉市江夏区食品药品监督管理局,武汉市江夏区纸坊沙羡街人行宿舍5-7号门面,20150210,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,敖茂斌
黄军根,唐呈卓,鄂DA0274354,武汉市时代康桥大药房有限公司,汉阳区,未设仓库,2020-02-10,武汉市汉阳区食品药品监督管理局,汉阳区龙阳大道特八号万科汉阳国际B地块1号楼商1商铺,20150211,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,方春香
胡文琼,易宝珍,鄂DA0275503,武汉健康久久药房有限公司,武昌区,,2020-02-11,武汉市武昌区食品药品监督管理局,武昌区紫阳路281号,20150212,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,陈闽艳
李三桂,李增华,鄂CB0277154,湖北御方堂新药特药大药房有限公司壕沟店,洪山区,,2020-02-11,武汉市洪山区食品药品监督管理局,武汉市洪山区南湖大道芷岸龙庭小区商业街D1-2-18号,20150212,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,李三桂
骆高明,朱铁,鄂DA0275199,武汉市仁康源大药房有限公司,武昌区,,2020-02-12,武汉市武昌区食品药品监督管理局,武汉市武昌区胭脂路双柏前街花园山社区门面,20150213,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张峰
李惠平,郭俊,鄂DA0271372,武汉安济康大药房有限公司,江岸区,,2020-02-12,武汉市江岸区食品药品监督管理局,武汉市江岸区后湖街幸福村H4小区9号楼3、4、5号商铺,20150213,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,常慧杰
,王利先,鄂CB0278077,湖北同济堂药房有限公司万科高尔夫药店,东西湖区,,2020-02-03,武汉市食品药品监督管理局,武汉市东西湖区高尔夫球场西金山大道北1层7号商铺,20150204,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,谢琼
,陈爱军,鄂CB0272307,武汉普安医药有限公司普安药房新华家园店,江汉区,,2020-02-14,武汉市江汉区食品药品监督管理局,武汉市江汉区姑嫂树路与后湖路交叉口南国北都城市广场1层4号商铺,20150215,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张云艳
,王仙贵,鄂DB0278793,武汉雅康大药房有限责任公司,蔡甸区,,2020-02-15,武汉市蔡甸区食品药品监督管理局,武汉市蔡甸区临嶂大道140号附14-15号,20150216,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,王琴
丁伟雄,何东杰,鄂DA0270655,武汉博信堂大药房有限责任公司,经济技术开发区（汉南区）,,2020-02-14,武汉市开发区食品药品监督管理局（武汉经济技术开发区）,武汉经济技术开发区郭徐岭村一组联城路24号,20150215,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,何东杰
陈志华,张长弓,鄂DA0277161,武汉市华馨大药房有限公司,洪山区,,2020-02-15,武汉市洪山区食品药品监督管理局,武汉市洪山区洪山街南湖村南湖名都11栋1层11-1室,20150216,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,陈志华
汪汉斌,张瑜婷,鄂DA0277164,武汉宗翰大药房有限公司,洪山区,,2020-02-15,武汉市洪山区食品药品监督管理局,武汉市洪山区民族大道当代曙光嘉园36号,20150216,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,汪汉斌
宋燕燕,周露,鄂CB0277015,湖北中联大药房连锁有限公司石牌岭分店,洪山区,,2019-07-13,武汉市洪山区食品药品监督管理局,石牌岭高级中学门前,20150216,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵冬枝
,赵发勤,鄂CB0279435,湖北智仁大药房有限公司民康店,黄陂区,,2020-02-16,武汉市黄陂区食品药品监督管理局,武汉市黄陂区前川大道61号建逸苑1号楼1层6、7号,20150217,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,梁春芬
,杨瑜,鄂CB0271235,湖北同济堂药房有限公司六合路药店,江岸区,,2020-02-25,武汉市江岸区食品药品监督管理局,武汉市江岸区六合路26-28号金涛六合花园D栋1层6、7室,20150226,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品***,李霞
黄书龙,廖慧玲,鄂CB0277166,武汉市美佳康大药房有限公司铁机店,洪山区,,2020-02-16,武汉市洪山区食品药品监督管理局,武铁佳苑13号、14号门面下层,20150217,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,文道兵
,占勇,鄂CB0271013,国中医药连锁有限责任公司第十分店,江岸区,,2020-02-25,武汉市江岸区食品药品监督管理局,武汉市江岸区胜利街122号,20150226,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、诊断药品、生物制品(除疫苗外)***,徐桂芳
潘时宏,潘时德,鄂DA0275461,武汉市宏佳大药房有限公司,武昌区,,2019-05-25,武汉市武昌区食品药品监督管理局,湖北省武汉市武昌区百瑞景三期三栋103号,20150227,处方药(禁止类与限制类药品除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,舒琴
,杨瑞,鄂CB0275458,武汉贝克大药房连锁有限公司车家岭店,武昌区,,2019-04-28,武汉市武昌区食品药品监督管理局,武昌区中北路统建锦绣江南二期19栋1层商2号,20150228,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,徐羡平
方龙武,李恒磊,鄂CB0275499,武汉贝克大药房连锁有限公司大东门店,武昌区,,2020-02-04,武汉市武昌区食品药品监督管理局,武汉市武昌区武珞路二巷4号,20150228,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,徐羡平
王昌勇,彭曼,鄂BA0275156,湖北中联大药房连锁有限公司,江岸区,,2019-11-03,武汉市江岸区食品药品监督管理局,武汉市江岸区汉黄路12号十大家工业园东区7栋,20150304,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵冬枝
,胡秀玲,鄂CB0271041,武汉市汉深大药房连锁有限公司山海关分店,江岸区,,2020-03-05,武汉市江岸区食品药品监督管理局,武汉市江岸区中山大道1530号,20150306,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、除冷藏冷冻药品外***,王宁
,汪星,鄂CB0279308,武汉市佳源堂大药房连锁有限公司兰馨苑店,黄陂区,武汉市黄陂区向阳大街梅园小区1号2-2室,2020-03-04,武汉市黄陂区食品药品监督管理局,武汉市黄陂区前川街油岗村冰晶兰馨苑小区58栋10、11、12号,20150305,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,邓智勇
陈利平,黄红晖,鄂DB0279581,武汉源生堂大药房有限公司,黄陂区,,2020-03-11,武汉市黄陂区食品药品监督管理局,盘龙城经济开发区露甲山路特5号哥特帝景5栋1层5室,20150312,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,周佑军
,李仙,鄂DA0277167,武汉国泰君安大药房有限公司街道口店,洪山区,,2020-03-11,武汉市洪山区食品药品监督管理局,武汉市洪山区珞狮路理工大孵化大楼F层一楼,20150312,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,韩彩娥
———,王玉梅,鄂DB0273361,湖北传奇春天大药房连锁有限公司第4229...,硚口区,———,2020-03-17,武汉市硚口区食品药品监督管理局,武汉市硚口区桂苑新村7栋1层2号,20150318,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、除冷藏冷冻药品外***,杨凡
,阳芃,鄂CB0275166,国中医药连锁有限责任公司第二分店,武昌区,,2020-03-18,武汉市武昌区食品药品监督管理局,武昌区解放路322号,20150319,非处方药;中成药、化学药制剂、生化药品、诊断药品、生物制品(除疫苗外)***,徐桂芳
左山,张文胜,鄂CB0275093,国中医药连锁有限责任公司第八十五分店,武昌区,,2020-03-18,武汉市武昌区食品药品监督管理局,武昌区东湖南路8号,20150319,非处方药;中成药、化学药制剂、生化药品、生物制品(除疫苗外)***,徐桂芳
,谢艳方,鄂CB0272322,老百姓大药房连锁（湖北）有限公司武汉三眼...,江汉区,由老百姓大药房连锁（湖北）有限公司统一配送,2020-03-18,武汉市江汉区食品药品监督管理局,武汉市江汉区三眼桥路111号一楼商铺,20150319,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杨芬
,喻艺斌,鄂CB0279312,武汉市佳源堂大药房连锁有限公司黄陂店,黄陂区,武汉市黄陂区向阳大道梅园小区1号2-2号,2020-03-19,武汉市黄陂区食品药品监督管理局,武汉市黄陂区前川街西寺大道313号,20150320,处方药(禁止类与限制类药品除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,邓智勇
,刘秀,鄂DA0275505,武汉益祥康药房有限公司,武昌区,,2020-03-24,武汉市武昌区食品药品监督管理局,武汉市武昌区黄鹤楼小区一期（1-2层）,20150325,非处方药;中成药、生化药品***,黄大运
涂正艳,邹清,鄂DB0275506,武汉惠好大药房有限公司宏祥路店,武昌区,,2020-03-24,武汉市武昌区食品药品监督管理局,武汉市武昌区徐东路40号1号楼5号门面,20150325,处方药(禁止类除外)、非处方药、中药饮片;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,廖高明
,江芳,鄂CB0274358,武汉贝克大药房连锁有限公司绿色晴川店,汉阳区,,2020-03-22,武汉市汉阳区食品药品监督管理局,武汉市汉阳大道459号绿色晴川1号楼2单元1层7室,20150325,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,徐羡平
胡丽娟,吴保珍,鄂CB0271065,湖北正和大药房连锁有限责任公司第一分店,江岸区,,2020-03-23,武汉市江岸区食品药品监督管理局,武汉市江岸区湖光公寓5栋,20150324,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品***,刘立强
,项飞,鄂CB0278263,武汉东明药房连锁有限公司高桥分店,东西湖区,,2020-03-31,武汉市东西湖区食品药品监督管理局,武汉市东西湖区高桥北四路以东、台北二道以北武汉优安达科技园内1号楼第一层21号店铺,20150401,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,汤明起
陈俊,刘冬,鄂DA0275225,湖北普通人药房有限公司,武昌区,,2020-03-24,武汉市武昌区食品药品监督管理局,武汉市沿江大道35号,20150325,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,黄大运
梅学武,赵玲,鄂DA0277175,武汉民泰慷大药房有限公司,洪山区,,2020-03-31,武汉市洪山区食品药品监督管理局,洪山区洪山乡南湖成功花园A栋25号,20150401,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,梅学武
,殷德香,鄂CB0279316,武汉市佳源堂大药房连锁有限公司佳海店,黄陂区,,2020-03-31,武汉市黄陂区食品药品监督管理局,武汉市黄陂区佳海工业城P3-101号,20150401,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,邓智勇
,殷健,鄂CB0275107,湖北同济堂药房有限公司首义药店,武昌区,,2020-04-01,武汉市武昌区食品药品监督管理局,武汉市武昌区首义路42号,20150402,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,雷云锋
,赵晓明,鄂CB0278028,湖北同济堂药房有限公司将军药店,东西湖区,,2020-03-31,武汉市食品药品监督管理局,武汉市东西湖区姑李路荣昌花园5栋1415号,20150401,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品***,李茂林
,杨洁,鄂CB0276083,湖北正和大药房连锁有限责任公司第十分店,青山区,,2020-04-01,武汉市食品药品监督管理局,武汉市青山区青翠苑2栋1号商网,20150402,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,刘立强
,方伟,鄂CB0275062,湖北同济堂药房有限公司伟华药店,武昌区,,2020-04-01,武汉市武昌区食品药品监督管理局,武汉市武昌区徐东侧路33-35号,20150402,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,雷云锋
,刘国成,鄂DB0274368,湖北同济堂药房有限公司旺达药店,汉阳区,由湖北同济堂药房有限公司统一配送,2020-04-01,武汉市食品药品监督管理局,武汉市汉阳区玫瑰街99号赛博园4栋1层1-3室,20150402,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、除冷藏冷冻药品外***,姚国胜
,邱洁,鄂CB0275027,湖北同济堂药房有限公司中山桥药店,武昌区,,2020-04-01,武汉市武昌区食品药品监督管理局,武汉市武昌区蛇山六坡一号,20150402,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,雷云锋
,明媚,鄂CB0273191,武汉马应龙大药房连锁有限公司安静街药店,江岸区,,2020-04-02,武汉市江岸区食品药品监督管理局,武汉市江岸区安静后街12号1层,20150403,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,夏瑛
,丁明和,鄂CB0273367,武汉马应龙大药房连锁有限公司宝裕药店,硚口区,,2020-04-02,武汉市硚口区食品药品监督管理局,武汉市桥口区宝丰街(仁和家园)20号,20150403,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,夏瑛
吴少宏,张红,鄂DA0272197,武汉中联大药房医药有限责任公司,江汉区,,2020-04-02,武汉市江汉区食品药品监督管理局,江汉区民主街14号,20150403,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,李莲莲
,熊利华,鄂DB0278352,武汉市汉南区纱帽街如意大药房,经济技术开发区（汉南区）,,2020-04-06,武汉市汉南区食品药品监督管理局,乌金山社区永清苑10栋一楼10号、11号,20150407,甲类非处方药、乙类非处方药;中成药、化学药制剂、抗生素制剂、生化药品***,王秋兰
贾建文,吴萍,鄂CB0277070,湖北传奇春天大药房连锁有限公司名都花园店,洪山区,,2020-04-06,武汉市食品药品监督管理局,武汉市洪山区雄楚大道名都花园南区一期315栋商2,20150407,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,高鸽子
